month_maker	2026-02	Audi	26
month_maker	2026-03	Audi	34
month_maker	2026-04	Audi	33
month_maker	2026-05	Audi	24
month_maker	2026-06	Audi	42
month_maker	2026-07	Audi	43
month_maker	2026-08	Audi	31
month_maker	2025-12	Austin	1
month_maker	2025-11	Aveling Barford	1
month_maker	2025-05	BAIC	1
month_maker	2025-07	BAIC	3
month_maker	2025-11	BAIC	2
month_maker	2025-12	BAIC	1
month_maker	2026-01	BAIC	1
month_maker	2025-01	BAW	1
month_maker	2025-01	BMW	601
month_maker	2025-02	BMW	583
month_maker	2025-03	BMW	678
month_maker	2025-04	BMW	556
month_maker	2025-05	BMW	635
month_maker	2025-06	BMW	619
month_maker	2025-07	BMW	699
month_maker	2025-08	BMW	713
month_maker	2025-09	BMW	566
month_maker	2025-10	BMW	655
month_maker	2025-11	BMW	619
month_maker	2025-12	BMW	950
month_maker	2026-01	BMW	545
month_maker	2026-02	BMW	449
month_maker	2026-03	BMW	672
month_maker	2026-04	BMW	516
month_maker	2026-05	BMW	367
month_maker	2026-06	BMW	442
month_maker	2026-07	BMW	518
month_maker	2026-08	BMW	479
month_maker	2025-01	BYD	505
month_maker	2025-02	BYD	634
month_maker	2025-03	BYD	1020
month_maker	2025-04	BYD	1048
month_maker	2025-05	BYD	1148
month_maker	2025-06	BYD	1045
month_maker	2025-07	BYD	870
month_maker	2025-08	BYD	1119
month_maker	2025-09	BYD	1028
month_maker	2025-10	BYD	1748
month_maker	2025-11	BYD	1705
month_maker	2025-12	BYD	2537
month_maker	2026-01	BYD	913
month_maker	2026-02	BYD	469
month_maker	2026-03	BYD	879
month_maker	2026-04	BYD	1413
month_maker	2026-05	BYD	925
month_maker	2026-06	BYD	1076
month_maker	2026-07	BYD	1226
month_maker	2026-08	BYD	571
month_maker	2026-03	Beauford	1
month_maker	2025-01	Bentley	7
month_maker	2025-02	Bentley	2
month_maker	2025-03	Bentley	7
month_maker	2025-04	Bentley	3
month_maker	2025-05	Bentley	5
month_maker	2025-06	Bentley	6
month_maker	2025-07	Bentley	5
month_maker	2025-08	Bentley	2
month_maker	2025-09	Bentley	4
month_maker	2025-10	Bentley	6
month_maker	2025-11	Bentley	6
month_maker	2025-12	Bentley	15
month_maker	2026-01	Bentley	3
month_maker	2026-02	Bentley	2
month_maker	2026-03	Bentley	2
month_maker	2026-04	Bentley	3
month_maker	2026-05	Bentley	1
month_maker	2026-06	Bentley	5
month_maker	2026-07	Bentley	6
month_maker	2026-08	Bentley	1
month_maker	2025-04	Bison	1
month_maker	2025-06	Bison	2
month_maker	2025-08	Bison	1
month_maker	2025-09	Bison	2
month_maker	2026-07	Bison	1
month_maker	2026-08	Bison	1
month_maker	2026-08	Bmw	1
month_maker	2025-01	Boon Koon	7
month_maker	2025-02	Boon Koon	8
month_maker	2025-03	Boon Koon	3
month_maker	2025-04	Boon Koon	3
month_maker	2025-05	Boon Koon	3
month_maker	2025-06	Boon Koon	1
month_maker	2025-07	Boon Koon	5
month_maker	2025-08	Boon Koon	7
month_maker	2025-09	Boon Koon	4
month_maker	2025-10	Boon Koon	3
